tickers,volatility,drawdown,beta,market_cap,pe_ratio,dividend_yield,profit_margin,return_on_equity,debt_to_equity
CTRA,0.015962962450330204,0.14386352464033536,0.331,18051198976,13.830468,3.76,0.22148001,0.09404001,31.773
CRWD,0.019583469101421804,0.10227580056260147,1.157,115131392000,42.355587151991614,2.294692874692875,-0.04166,-0.05738,22.498
CCI,0.012168406393438441,0.1273153579900117,0.898,49087115264,42.355587151991614,3.87,-0.71804,-1.63212,145.8182209821429
CSX,0.012209704065379077,0.08998007976539665,1.23,66059214848,21.57362,1.49,0.22658001,0.26121,162.012
CMI,0.012461942035985024,0.13660091136864852,1.019,50140069888,17.921223,2.21,0.08198,0.26187,67.789
CVS,0.013964070530186935,0.12462190742218675,0.576,76219613184,14.379881,4.3,0.01401,0.06934,105.321
DHR,0.016936056132142795,0.08486199040814571,0.999854430379747,145627070464,43.179405,0.65,0.14213,0.06676,33.157
DRI,0.011574370920689855,0.08407642037686161,0.737,24034103296,23.126125,2.88,0.08691,0.46159,338.057
DDOG,0.03307085783000914,0.2353850988059493,1.026,50468159488,304.4479,2.294692874692875,0.058480002,0.06476,64.364
DVA,0.01895094664464242,0.10263027548506047,1.106,10952619008,14.376984,2.294692874692875,0.06628,0.54794,742.203
DAY,0.0225036205967723,0.10568837075258786,1.087,9478544384,370.53125,2.294692874692875,0.0143099995,0.01031,47.498
DECK,0.021659993974072048,0.11814226177922371,0.991,15622039552,16.515009,2.294692874692875,0.19378,0.41818002,11.022
DE,0.012489311130240368,0.05175243476654419,1.085,139294457856,24.834864,1.26,0.12454,0.23912,275.281
DELL,0.021229440723916086,0.1651935633375477,1.098,87043604480,20.202513,1.65,0.04716,0.3116597039292111,145.8182209821429
DAL,0.03006983185605526,0.1905007671407981,1.491,36003549184,8.014535,1.34,0.07243,0.30074,128.326
DVN,0.02192718450348976,0.09569924670866926,1.06,21401192448,7.5922556,2.89,0.17493999,0.20963,60.969
DXCM,0.022997065548842215,0.08827227799328714,1.448,34056456192,65.30451,2.294692874692875,0.12903,0.23716,113.968
FANG,0.02085851213212267,0.11903687305842232,1.024,42427174912,9.030784,3.65,0.32354,0.14668,33.594
DLR,0.010959100822918363,0.06664819268308518,0.968,61936947200,170.28304,2.72,0.07808,0.01849,79.552
DG,0.013678594962168819,0.07008908278607986,0.315,23879905280,20.708017,2.16,0.02805,0.15695,220.908
DLTR,0.01471625911342904,0.1826660340664233,0.862,24055345152,22.734713,2.294692874692875,-0.16548,0.19404,202.505
D,0.011757290656873356,0.08802575826490795,0.551,50280554496,22.764479,4.58,0.15628,0.07719,145.196
DPZ,0.013492983149937169,0.07442083573253894,1.093,16263560192,27.836143,1.46,0.12489,0.3116597039292111,145.8182209821429
DASH,0.018323831831447687,0.12268618964321973,1.703,102745210880,306.92404,2.294692874692875,0.03016,0.04336,6.278
DOV,0.01115535775898463,0.08391822695583072,1.259,25529450496,24.761303,1.08,0.29705998,0.16876,41.649
DOW,0.04036466544587558,0.17275101341883162,0.857,17940156416,63.449997,9.22,0.0068699997,0.020599999,103.62
DHI,0.03798080775466399,0.21876222691240838,0.999854430379747,43384393728,11.656627,1.08,0.114630006,0.16098,29.475
DTE,0.008796988319393458,0.06657118123799895,0.438,28815671296,18.739542,3.16,0.11247,0.13295999,196.504
DUK,0.0075920916999169105,0.05094012552701307,0.353,93057097728,19.887873,3.56,0.15617,0.09478,168.902
DD,0.015170553875068205,0.14650503580374252,1.024,31324649472,2495.0,2.14,-0.00599,0.00199,32.577
EMN,0.017908381197424706,0.08962724101778147,1.235,8910625792,9.831211,4.16,0.09847999,0.16032,86.003
ETN,0.016282596602944788,0.15836278937776233,1.156,150478323712,38.76613,1.09,0.15554,0.20812,58.004
EBAY,0.0119160860946179,0.10949961073858056,1.249,38130233344,19.889423,1.42,0.19783,0.36479,145.01
ECL,0.009760110763185321,0.05060379912621456,1.035,76546375680,36.68376,0.97,0.13407,0.24774,103.915
EIX,0.016610428155095495,0.0,0.754,19799955456,7.2786417,6.33,0.15757,0.15001,210.459
EW,0.010314444816969075,0.07017774358535443,1.109,44511207424,31.35537,2.294692874692875,0.75706,0.16511999,6.863
EA,0.012269612763089138,0.07526615217379465,0.733,38562713600,36.19576,0.49,0.15021,0.16131,34.732
ELV,0.03775644030659561,0.3014705746274135,0.612,63495696384,11.95844,2.31,0.02832,0.124180004,68.838
EMR,0.010838924075466494,0.14528869320443702,1.283,82605932544,42.321323,1.44,0.13603,0.08335,77.857
ENPH,0.06640407204206678,0.247550595609369,1.666,4674361344,27.713257,2.294692874692875,0.10434,0.17132,152.289
ETR,0.010368481864830234,0.08925155251955928,0.573,39656865792,28.754045,2.72,0.112390004,0.08853,199.493
EOG,0.01574227750660954,0.06276769928968726,0.776,64861327360,11.013902,3.43,0.25882998,0.20899999,17.15
EPAM,0.018530375453689126,0.11063225710215023,1.701,9627276288,23.767132,2.294692874692875,0.08465,0.11568,4.341
EQT,0.028231335409657318,0.14030442976365223,0.654,32126267392,28.236843,1.16,0.05998,0.022969998,34.392
EFX,0.02094490031464521,0.12187843955024172,0.999854430379747,30478936064,48.41487,0.81,0.10953,0.12759,93.548
EQIX,0.027328221725982774,0.1775730509686983,0.915,77349642240,82.80026,2.36,0.105170004,0.07059,141.235
EQR,0.010665898771504619,0.05507538745895263,0.897,26551023616,25.877865,4.05,0.33110002,0.08901,70.333
ERIE,0.015142901475953503,0.07193134501192906,0.34,19045027840,30.971088,1.49,0.15732999,0.3238,0.615
ESS,0.010125011120088918,0.045178701195263175,0.791,19942905856,27.638279,3.51,0.36101002,0.12810999,118.416
EL,0.030903333671483433,0.2691639666258302,1.167,32017928192,42.355587151991614,1.56,-0.058909997,-0.15976,215.926
EG,0.01253541392757013,0.034667385903704016,0.504,14140979200,16.77384,2.38,0.048839998,0.06122,25.368
EVRG,0.00861297882827924,0.049016848481725495,0.476,16092565504,18.405264,3.84,0.14867,0.09047,144.484
ES,0.009650504250830527,0.06320370884095743,0.636,24374523904,29.099123,4.54,0.06626,0.05617,189.941
EXC,0.009910760587042497,0.04859392149241596,0.467,44223201280,16.284498,3.68,0.114350006,0.10099,174.861
EXE,0.022697204554073175,0.19448300064033863,0.464,23824078848,42.355587151991614,2.33,-0.15057999,-0.07096,30.912
EXPE,0.017707055599879902,0.15713614945943602,1.577,24422486016,22.926014,0.83,0.08477,0.52188,278.63
EXPD,0.012883330588982106,0.06356395665454664,1.057,15794212864,19.126036,1.33,0.07637,0.37695,25.721
EXR,0.011201885566899331,0.048665634509295404,1.108,33372116992,35.027905,4.29,0.2713,0.063930005,89.649
XOM,0.014684743701623811,0.06636059639485167,0.469,476193718272,14.65451,3.6,0.09726,0.14302,13.918
FFIV,0.012445384861628082,0.054942511563326274,1.002,17409527808,28.815113,2.294692874692875,0.21136,0.19892,8.051
FDS,0.010669513977453644,0.07559400166582743,0.834,15910802432,30.363998,1.06,0.23302001,0.26346,75.191
FICO,0.025929309596563987,0.21768265622239744,1.285,37581639680,66.31959,2.294692874692875,0.31357,0.3116597039292111,145.8182209821429
FAST,0.012260379988143388,0.14099876714682816,0.958,54696525824,46.271847,1.86,0.15295,0.32564998,14.319
FRT,0.009760362472889968,0.03555993709959879,1.107,8301965312,27.462643,4.6,0.24701001,0.094469994,133.513
FDX,0.016399791663418803,0.08357164846982927,1.356,55965859840,14.104935,2.44,0.04654,0.14705,145.8182209821429
FIS,0.011409833743930365,0.044930139851853554,1.073,42767155200,51.847134,1.96,0.08056,0.05246,80.216
FITB,0.012276704302926716,0.14548320351094177,0.925,28634742784,13.359813,3.46,0.29201,0.11569,145.8182209821429
FSLR,0.048561785449767664,0.22353132401889936,1.515,19139835904,15.163126,2.294692874692875,0.29716998,0.16766001,7.7
FE,0.007543452535632571,0.0447330574421089,0.365,23998146560,22.117022,4.32,0.07883,0.09274,178.805
FI,0.028975698349632265,0.20170893219334984,0.915,77698375680,23.434782,2.294692874692875,0.15684,0.116780005,107.142
F,0.017371052972868714,0.12510493620551322,1.501,45034426368,9.059999,6.59,0.02744,0.11497,353.298
FTNT,0.021107864423297408,0.07979566972156643,1.063,79940050944,42.979424,2.294692874692875,0.30597,2.05906,54.842
FTV,0.013017166821140702,0.07072932042393278,1.069,17391761408,22.442982,0.63,0.129,0.07695,39.337
FOXA,0.014477842732004701,0.054587114612473384,0.522,24311394304,13.975247,0.96,0.1158,0.16621,68.321
FOX,0.01414295714957836,0.05826168721988207,0.522,24282892288,12.831683,1.04,0.1158,0.16621,68.321
BEN,0.013364110564883938,0.13015697312717175,1.47,13053941760,36.0,5.17,0.046490002,0.02799,24.117
FCX,0.021722948901512173,0.14806185745028327,1.642,62286004224,33.704544,1.31,0.07111,0.14062001,32.19
GRMN,0.01303258897157491,0.1475000052616514,0.981,44579016704,30.50461,1.55,0.22761999,0.19036,2.181
IT,0.013302369650861439,0.14625593164723572,1.191,27403393024,22.197086,2.294692874692875,0.19816,1.13185,192.54
GE,0.015139237972067626,0.12587502688511393,1.379,285581770752,38.47214,0.55,0.18642001,0.39567003,103.37
GEHC,0.013981872437382156,0.07909385903367719,1.289,35316666368,16.20378,0.18,0.11026,0.26444,97.515
GEV,0.031071137806576853,0.23971543644166307,0.999854430379747,169612738560,149.74457,0.18,0.05422,0.19641,10.474
GEN,0.014600029081962703,0.06486309489320465,1.006,18938724352,29.645632,1.63,0.16341,0.29167998,366.461
GNRC,0.017598305940225767,0.19005942367002826,1.725,9018806272,26.640488,2.294692874692875,0.07679,0.13798,57.434
GD,0.01414749256397974,0.13415062746196857,0.472,85124292608,21.238619,2.02,0.080819994,0.18228,51.775
GIS,0.016823439154777263,0.09073808014345926,0.004,27650267136,12.432927,4.76,0.11778,0.24590999,166.066
GM,0.026446791186565777,0.09926951297340043,1.323,50436329472,8.087786,1.23,0.030840002,0.08557,201.974
GPC,0.018109339847388033,0.11738929899750611,0.999854430379747,18583386112,23.035343,3.06,0.03403,0.17443001,136.085
GILD,0.01693333599327015,0.07517025093007808,0.307,140517441536,23.731617,2.78,0.20759001,0.32654998,130.789
GPN,0.021584815708976014,0.11282841273219038,0.945,20348127232,13.500809,1.19,0.15477,0.07102,73.574
GL,0.017876249014093428,0.11131265134976227,0.561,10922901504,10.776059,0.87,0.18334,0.20471,58.407
GDDY,0.010586744109915298,0.07694235809843651,1.055,23683643392,31.964424,2.294692874692875,0.16203,2.45696,1945.769
GS,0.013302379415888665,0.15219436182171997,1.344,221956489216,15.926024,2.23,0.28401,0.12762,532.258
HAL,0.028157989032249465,0.1263475738550624,0.999854430379747,19141554176,10.453051,3.1,0.08375,0.18229,81.17
HIG,0.012337197334384264,0.060425307461365825,0.685,34919100416,12.254238,1.69,0.11089,0.18495001,25.92
HAS,0.016808461121871586,0.1370493614600683,0.58,10665218048,42.355587151991614,3.61,0.09988,0.39041,280.61
HCA,0.0135397534244121,0.11513877299326337,1.48,82921046016,15.319111,0.82,0.08073,16.05769,145.8182209821429
DOC,0.01139833520003879,0.11204717489116098,1.006,13210329088,46.378048,6.4,0.09986,0.0332,103.846
HSIC,0.016610428155095495,0.0,0.868,9161616384,22.831776,2.294692874692875,0.03213,0.084680006,68.32
HSY,0.02097029516511286,0.11613818302402841,0.287,37074505728,22.480343,2.99,0.15323,0.37483,134.279
HPE,0.026269357958663704,0.17892154540642702,1.364,26946701312,19.745386,2.5,0.04597,0.06373,73.382
HLT,0.012544106501445211,0.12478015350895207,1.25,63288352768,41.334866,0.22,0.32990003,0.3116597039292111,145.8182209821429
HOLX,0.010731581529925448,0.053702322132103686,0.555,14777966592,27.863445,2.294692874692875,0.13826,0.11766,54.799
HD,0.011923762480463566,0.07790622252880804,1.004,370859409408,25.32269,2.44,0.08984,2.9951901,778.781
HON,0.014027465070486854,0.07741265009501198,1.063,145472569344,25.964407,1.89,0.14512,0.32676998,188.514
HRL,0.013640054511346172,0.07523029523348593,0.33,16155914240,21.60294,3.93,0.06269,0.09373,35.538
HST,0.01436539211862896,0.0947679359994926,1.332,11640018944,17.244793,4.82,0.1164,0.09996,83.171
HWM,0.017685181552326904,0.10635733729532625,1.43,75456757760,61.086605,0.21,0.1664,0.28295,72.684
HPQ,0.01704937124539126,0.08307691720815805,1.291,24035997696,9.842308,4.47,0.04636,0.3116597039292111,145.8182209821429
HUBB,0.01407880025507868,0.12624936719807486,0.981,23234693120,29.434076,1.21,0.14294,0.25917,61.442
HUM,0.018709890360541676,0.12736557896797834,0.445,27633870848,16.146685,1.49,0.01422,0.10099,77.075
HBAN,0.013559974839665472,0.12546259451341807,0.952,24707575808,12.578358,3.69,0.29156,0.10505,145.8182209821429
HII,0.015275852751898923,0.14840338915658358,0.3,10397184000,19.076313,2.03,0.04763,0.12271,71.36
IBM,0.016846941682121884,0.11174436046479727,0.68,243399884800,42.24034,2.38,0.087110005,0.21851,247.978
